City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,taiobeiras,BR,64.53,overcast clouds,-15.8078,-42.2331,Dallas Hotel
271,pemba,MZ,77.0,light rain,-12.974,40.5178,Guesthouse Samotina
272,sao jose de ribamar,BR,78.8,scattered clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
273,kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
275,jinxi,CN,63.23,light rain,30.4323,116.2922,Jinling Hotel
276,sorong,ID,81.27,overcast clouds,-0.8833,131.25,The Waigo Hotel
278,trinidad,BO,82.4,broken clouds,-14.8333,-64.9,Hotel Piesta
280,kavaratti,IN,82.44,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
282,kununurra,AU,75.2,scattered clouds,-15.7667,128.7333,Hotel Kununurra
287,kollam,IN,82.4,mist,8.8833,76.6,Nani Hotels and Resorts
292,manggar,ID,79.81,overcast clouds,-2.8833,108.2667,Guest Hotel
294,tecoanapa,MX,82.06,clear sky,16.5167,-98.75,Hotel Manglares
295,marica,BR,78.8,few clouds,-22.9194,-42.8186,Marica Hills
297,bandarbeyla,SO,76.64,overcast clouds,9.4942,50.8122,JABIR HOTEL
299,sabang,ID,82.49,broken clouds,5.8933,95.3214,Hotel Citra
300,auki,SB,86.85,overcast clouds,-8.7676,160.7034,Auki Motel
301,cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
305,ternate,ID,82.27,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
307,xai-xai,MZ,72.99,clear sky,-25.0519,33.6442,Complexo da Familia
308,guerrero negro,MX,61.81,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
309,ballina,AU,66.2,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
310,souillac,MU,77.0,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
312,ahuimanu,US,77.0,light rain,21.4447,-157.8378,Paradise Bay Resort
317,bambanglipuro,ID,77.81,overcast clouds,-7.95,110.2833,Puri Brata
318,airai,TL,67.53,overcast clouds,-8.9266,125.4092,Juvinal Martin
320,aswan,EG,67.93,few clouds,24.0934,32.907,Nuba Nile
321,alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
324,ponta delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
325,indramayu,ID,78.03,heavy intensity rain,-6.3264,108.32,Grand Trisula Hotel
328,iralaya,HN,82.4,few clouds,15.0,-83.2333,Iglesia morava renovada
329,poum,NC,79.81,broken clouds,-20.2333,164.0167,Gîte kajeon
330,lamu,KE,78.8,scattered clouds,-2.2717,40.902,Lamu House
