City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
373,praia da vitoria,PT,38.7333,-27.0667,62.6,77,20,6.91,few clouds
374,lorengau,PG,-2.0226,147.2712,85.35,64,81,2.33,broken clouds
375,alihe,CN,50.5667,123.7167,30.54,92,100,10.71,light snow
376,deneysville,ZA,-26.8908,28.0971,55.42,54,0,7.85,clear sky
377,manthani,IN,18.65,79.6667,70.09,39,0,3.89,clear sky
378,gezing,AT,47.9178,13.1299,35.01,93,75,1.14,light snow
379,todos santos,MX,23.45,-110.2167,75.99,44,0,14.0,clear sky
380,bakchar,RU,57.0186,82.0711,-3.21,98,84,5.84,broken clouds
381,moses lake,US,47.1301,-119.2781,55.4,38,1,5.75,clear sky
382,kinablangan,PH,7.6947,126.5503,81.46,76,37,0.87,scattered clouds
383,maxixe,MZ,-23.8597,35.3472,73.02,93,1,5.35,clear sky
384,seoul,KR,37.5683,126.9778,42.8,93,91,1.14,mist
385,gashua,NG,12.871,11.0482,81.18,15,7,8.32,clear sky
386,pahrump,US,36.2083,-115.9839,66.99,14,68,3.0,broken clouds
387,iskateley,RU,67.6803,53.1512,15.44,95,100,5.39,light snow
388,leningradskiy,RU,69.3833,178.4167,2.28,92,100,13.27,light snow
389,saldanha,ZA,-33.0117,17.9442,62.6,88,42,12.66,scattered clouds
390,caluquembe,AO,-13.7833,14.6833,60.28,94,100,3.15,light rain
391,tiarei,PF,-17.5333,-149.3333,89.6,62,40,6.91,scattered clouds
392,sao jose dos pinhais,BR,-25.5347,-49.2064,71.01,94,20,8.05,few clouds
393,nortelandia,BR,-14.4547,-56.8028,75.15,88,99,2.59,heavy intensity rain
394,beringovskiy,RU,63.05,179.3167,11.98,85,97,9.1,overcast clouds
395,vestmannaeyjar,IS,63.4427,-20.2734,39.52,82,99,16.58,overcast clouds
396,troitskoye,RU,52.9821,84.6757,2.28,97,100,4.79,overcast clouds
397,semnan,IR,35.5729,53.3971,39.18,57,76,1.54,broken clouds
398,along,IN,28.1667,94.7667,62.55,86,92,1.79,overcast clouds
399,novoagansk,RU,61.9449,76.6625,12.42,95,96,8.5,overcast clouds
400,serebryansk,KZ,49.6925,83.2892,5.0,78,40,6.71,light snow
401,la cruz,MX,23.9167,-106.9,71.01,64,28,8.01,scattered clouds
402,dingle,PH,10.9995,122.6711,80.2,83,52,3.51,broken clouds
403,belaya gora,RU,68.5333,146.4167,-15.93,94,1,6.11,clear sky
404,pisco,PE,-13.7,-76.2167,80.6,61,0,17.27,clear sky
405,san vicente,AR,-26.6167,-54.1333,71.85,71,24,4.18,light rain
406,college,US,64.8569,-147.8028,17.01,35,20,0.63,few clouds
407,gat,IL,31.61,34.7642,55.99,83,100,1.01,overcast clouds
408,rokupr,SL,8.6717,-12.395,78.82,67,56,3.02,broken clouds
409,campbell river,CA,50.0163,-125.2446,39.99,75,75,9.22,broken clouds
410,the valley,AI,18.217,-63.0578,78.8,73,20,3.44,few clouds
411,taltal,CL,-25.4,-70.4833,63.59,81,38,2.35,scattered clouds
412,campos altos,BR,-19.6961,-46.1714,65.61,94,98,2.53,overcast clouds
413,tanout,NE,14.9709,8.8879,79.75,11,0,9.71,clear sky
414,caldas novas,BR,-17.7417,-48.625,69.98,92,100,3.04,light rain
415,jumla,NP,29.2747,82.1838,40.44,66,0,3.76,clear sky
416,valleyview,CA,55.0667,-117.2859,30.2,69,90,17.27,overcast clouds
